part,type,tag,number,price_per_device_CAD,description,note,provider,link
M3 x 20 self-tapping philips screws,off-the-shelf,screw_m3x20,4,0.1,Screws to mount the [Raspberry Pi Zero](#pi_zero) and our [custom Raspberry Pi hat](#pi_hat) together on the [Raspberry Pi sledge](#pi_sledge).,,aliexpress.com,https://www.aliexpress.com/item/32835249403.html?spm=a2g0s.9042311.0.0.27424c4dLTOcNH
M3 x 14 self-tapping philips screws,off-the-shelf,screw_m3x14,8,0.2,Screws to lock the [back](#cambox_back) and [front](#cambox_front) of the camera box.,,aliexpress.com,https://www.aliexpress.com/item/32835249403.html?spm=a2g0s.9042311.0.0.27424c4dLTOcNH
M3 x 6 self-tapping philips screws,off-the-shelf,screw_m3x6,10,0.1,"Screws to attach the [camera](#camera) to the [Raspberry Pi sledge](#pi_sledge), the [Raspberry Pi sledge](#pi_sledge) to the [back of the camera box](#cambox_back), and to mount the [DHT22](#dht22) in [its shell](#dht_shell)",,aliexpress.com,https://www.aliexpress.com/item/32835249403.html?spm=a2g0s.9042311.0.0.27424c4dLTOcNH
M3 Stainless Acorn Nut Cap,off-the-shelf,nut_acorn_m3,8,0.4,A set of acorn nuts to lock the [rods](#rod_m3x250),,aliexpress.com,https://www.aliexpress.com/item/32993886063.html?spm=a2g0o.cart.0.0.26443c00UEA2H1&mp=1
M3 x 250 threaded rods,off-the-shelf,rod_m3x250,4,5,"Four rods to serve as the ""legs"" that connect the lightbox to the camera box",,aliexpress.com,https://www.aliexpress.com/item/4000990108860.html?spm=a2g0o.cart.0.0.79ae3c00cEblbO&mp=1
M3 nuts,off-the-shelf,nut_standard_m3,8,0,A set of nuts to lock the [rods](#rod_m3x250),,aliexpress.com,https://www.aliexpress.com/item/32886183839.html?spm=a2g0o.productlist.0.0.20492e91xidtyr&algo_pvid=de29cb22-5ca3-4ce6-bd8d-55a5cf42d14e&algo_exp_id=de29cb22-5ca3-4ce6-bd8d-55a5cf42d14e-0&pdp_ext_f=%7B%22sku_id%22%3A%2265651913269%22%7D&pdp_pi=-1%3B1.43%3B-1%3B-1%40salePrice%3BCAD%3Bsearch-mainSearch
2-pin automotive connector male,off-the-shelf,auto_connector,1,0,A weather-proof power connector,Buy male-female pairs and use the female for the battery,aliexpress.com,https://www.aliexpress.com/item/32801400952.html?spm=a2g0o.order_list.0.0.43281802B3HZ5R
custom pi hat,custom-ordered,pi_hat,1,40,Our custom Raspberry Pi hat. This board is factory-assembled. All the necessary files and schematics are available on our [github repository](https://github.com/sticky-pi/sticky-pi-device/tree/main/hardware/sticky_pi_hat),,pcbway,
Camera front,3d-printed,cambox_front,1,0,The front of the camera box,,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/cambox_frontstl
Camera back,3d-printed,cambox_back,1,0,The back of the camera box,,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/cambox_backstl
Camera tube,3d-printed,cambox_tube,1,0,The core of the camera box,,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/cambox_tubestl
Camera visor,3d-printed,cambox_visor,1,0,The visor to reduce the occurence of light and water on lens cover,,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/cambox_visorstl
Raspberry pi sledge,3d-printed,pi_sledge,1,0,The frame on which the electronics is mounted. It is housed in the camera box,,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/pi_sledgestl
Standoff,3d-printed,pi_standoff,4,0,Standoffs to securely attach the [Raspberry Pi Zero](#pi_zero) to the [custom board](#pi_hat),,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/pi_standoffstl
DHT22 shell,3d-printed,dht_shell,1,0,An open enclosure to mount the [temperature and humidity sensor](#dht22),,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/dht_shellstl
Light box front,3d-printed,lightbox_front,1,0,The front of the lightbox. It acts as a diffuser,It must be made of a transparent material,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/lightbox_frontstl
Light box back,3d-printed,lightbox_back,1,0,The back of the lightbox. It holds the led light stips,,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/lightbox_backstl
Drawer hook,3d-printed,drawer_hook,8,0,A custom washer with a feature to retain the sticky trap drawer,,doc.sticky-pi.com,https://github.com/sticky-pi/sticky-pi-device/blob/main/hardware/CAD/drawer_hookstl
